current_id,current_name,current_type,current_price,current_stock,current_categories,action,new_category,new_subcategory,new_handle,new_url,new_sku_suggested,watermark_status,tags_use_case,tags_problem,reason,notes,YOU_FILL_watermark_licence_number,YOU_FILL_watermark_certifier,YOU_FILL_watermark_valid_until,YOU_FILL_gtin_or_ean,YOU_FILL_supplier_name,YOU_FILL_decision_override,YOU_FILL_extra_notes,qf_no_description,qf_thin_description,qf_no_attributes,qf_low_images,qf_no_sku,qf_no_gtin,existing_watermark_signal,existing_wels_signal,current_image_count,current_description_length,current_sale_price,old_url_pattern
12157,"Inline Water Filter | Alkaline | pH Neutralising | 10"" x 2""",simple,27.95,,Filter Cartridges,KEEP,cartridges,post-carbon-t33,inline-water-filter-alkaline-ph-neutralising-10-x-2,/cartridges/post-carbon-t33/inline-water-filter-alkaline-ph-neutralising-10-x-2/,EA-CART-ALK,not_required,use:home-drinking-water,problem:hard-water-and-scale,Inline cartridge,Verify sub-category: T33 vs alkaline vs fluoride,,,,,,,,,,,YES,YES,YES,,,1,394,,/product/inline-water-filter-alkaline-ph-neutralising-10-x-2/
12161,"Inline Water Filter | Fluoride Removal | 10"" x 2""",simple,24.95,,Filter Cartridges,KEEP,cartridges,post-carbon-t33,inline-water-filter-fluoride-removal-10-x-2,/cartridges/post-carbon-t33/inline-water-filter-fluoride-removal-10-x-2/,EA-CART-FLU,not_required,use:home-drinking-water,problem:fluoride-removal,Inline cartridge,Verify sub-category: T33 vs alkaline vs fluoride,,,,,,,,,,,YES,YES,YES,,,1,312,,/product/inline-water-filter-fluoride-removal-10-x-2/
5181,"Inline Water Filter | T33 Activated Post Carbon | 5 Micron | 10"" x 2""",simple,19.95,,Filter Cartridges,KEEP,cartridges,post-carbon-t33,inline-water-filter-t33-activated-post-carbon-5-micron-10-x-2,/cartridges/post-carbon-t33/inline-water-filter-t33-activated-post-carbon-5-micron-10-x-2/,EA-CART-CTO,not_required,use:home-drinking-water,problem:chlorine-and-taste,Inline cartridge,Verify sub-category: T33 vs alkaline vs fluoride,,,,,,,,,,,YES,YES,YES,,,1,458,,/product/inline-water-filter-t33-activated-post-carbon-5-micron-10-x-2/
3467,2 Pics 75GPD Reverse Osmosis Membrane Membrane Replacement Filter (280L per day),simple,74.95,10.0,Fittings & Parts,KEEP,cartridges,reverse-osmosis-membranes,2-pics-75gpd-reverse-osmosis-membrane-membrane-replacement-filter-280l-per-day,/cartridges/reverse-osmosis-membranes/2-pics-75gpd-reverse-osmosis-membrane-membrane-replacement-filter-280l-per-day/,EA-CART-REV-02,not_required,use:home-drinking-water,problem:fluoride-removal,RO membrane,,,,,,,,,,,YES,,YES,YES,,,4,981,,/product/2-pics-75gpd-reverse-osmosis-membrane-membrane-replacement-filter-280l-per-day/
3673,5 stage Reverse Osmosis RO Full Replacement set with 75 GPD membrane NSF,simple,64.95,8.0,Fittings & Parts,KEEP,cartridges,reverse-osmosis-membranes,5-stage-reverse-osmosis-ro-full-replacement-set-with-75-gpd-membrane-nsf,/cartridges/reverse-osmosis-membranes/5-stage-reverse-osmosis-ro-full-replacement-set-with-75-gpd-membrane-nsf/,EA-CART-REV-03,not_required,use:home-drinking-water,problem:fluoride-removal,Cartridge (reverse-osmosis-membranes),,,,,,,,,,,YES,YES,YES,YES,,,1,4773,,/product/5-stage-reverse-osmosis-ro-full-replacement-set-with-75-gpd-membrane-nsf/
12549,Reverse Osmosis RO Membrane 400 GPD. Approx 1500 Litres Per Day,simple,110.0,,Filter Cartridges,KEEP,cartridges,reverse-osmosis-membranes,reverse-osmosis-ro-membrane-400-gpd-approx-1500-litres-per-day,/cartridges/reverse-osmosis-membranes/reverse-osmosis-ro-membrane-400-gpd-approx-1500-litres-per-day/,EA-CART-SED-02,not_required,use:home-drinking-water,problem:fluoride-removal,Cartridge (reverse-osmosis-membranes),,,,,,,,,,,YES,,YES,YES,,,3,3314,109.95,/product/reverse-osmosis-ro-membrane-400-gpd-approx-1500-litres-per-day/
3649,"2X Poly Spun Water Filter Cartridge 5 Micron Sediment 20"" x 4.5"" Whole House",simple,79.95,8.0,Fittings & Parts,KEEP,cartridges,sediment,2x-poly-spun-water-filter-cartridge-5-micron-sediment-20-x-4-5-whole-house,/cartridges/sediment/2x-poly-spun-water-filter-cartridge-5-micron-sediment-20-x-4-5-whole-house/,EA-CART-SED-20X45,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,YES,YES,,YES,YES,,,3,137,,/product/2x-poly-spun-water-filter-cartridge-5-micron-sediment-20-x-4-5-whole-house/
5121,"Polypropylene Sediment Water Filter | PP | 5 Micron | 10"" x 2.5""",simple,16.95,,Filter Cartridges,KEEP,cartridges,sediment,polypropylene-sediment-water-filter-pp-5-micron-10-x-2-5,/cartridges/sediment/polypropylene-sediment-water-filter-pp-5-micron-10-x-2-5/,EA-CART-SED-10X25-04,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,,YES,YES,YES,,,1,475,,/product/polypropylene-sediment-water-filter-pp-5-micron-10-x-2-5/
12147,"Polypropylene Sediment Water Filter | PP | 5 Micron | 10"" x 4.5""",simple,24.95,,Filter Cartridges,KEEP,cartridges,sediment,polypropylene-sediment-water-filter-pp-5-micron-10-x-4-5,/cartridges/sediment/polypropylene-sediment-water-filter-pp-5-micron-10-x-4-5/,EA-CART-SED-10X45,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,,YES,YES,YES,,,1,475,,/product/polypropylene-sediment-water-filter-pp-5-micron-10-x-4-5/
12114,"Polypropylene Sediment Water Filter | PP | 5 Micron | 20"" x 2.5""",simple,24.95,,Filter Cartridges,KEEP,cartridges,sediment,polypropylene-sediment-water-filter-pp-5-micron-20-x-2-5,/cartridges/sediment/polypropylene-sediment-water-filter-pp-5-micron-20-x-2-5/,EA-CART-SED-20X25,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,,YES,YES,YES,,,1,475,,/product/polypropylene-sediment-water-filter-pp-5-micron-20-x-2-5/
11626,"Polypropylene Sediment Water Filter | PP | 5 Micron | 20"" x 4.5""",simple,29.95,,Filter Cartridges,KEEP,cartridges,sediment,polypropylene-sediment-water-filter-pp-5-micron-20-x-4-5,/cartridges/sediment/polypropylene-sediment-water-filter-pp-5-micron-20-x-4-5/,EA-CART-SED-20X45-02,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,,YES,YES,YES,,,1,475,,/product/polypropylene-sediment-water-filter-pp-5-micron-20-x-4-5/
4046,Premium Pair of Water Filter Cartridges - Carbon & Sediment - 10'' x 2.5'' (5 Mic),simple,60.0,,Fittings & Parts,KEEP,cartridges,sediment,premium-pair-of-water-filter-cartridges-carbon-and-sediment-10-x-2-5-5-mic,/cartridges/sediment/premium-pair-of-water-filter-cartridges-carbon-and-sediment-10-x-2-5-5-mic/,EA-CART-SED-10X25-02,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,YES,YES,YES,YES,,,1,2787,,/product/premium-pair-of-water-filter-cartridges-carbon-and-sediment-10-x-2-5-5-mic/
11674,"Twin Pair Water Filter Cartridges | Carbon, Sediment | 5 Micron | 20"" x 4.5""",simple,89.95,,Filter Cartridges,KEEP,cartridges,sediment,twin-pair-water-filter-cartridges-carbon-sediment-5-micron-20-x-4-5,/cartridges/sediment/twin-pair-water-filter-cartridges-carbon-sediment-5-micron-20-x-4-5/,EA-CART-SED-20X45-03,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,,YES,YES,YES,,,1,2809,,/product/twin-pair-water-filter-cartridges-carbon-sediment-5-micron-20-x-4-5/
5110,"Twin Pair of Water Filter Cartridges - Carbon (CTO) + Sediment (PP) - 10"" x 2.5"" - 5 Micron",simple,29.95,,Filter Cartridges,KEEP,cartridges,sediment,twin-pair-of-water-filter-cartridges-carbon-cto-plus-sediment-pp-10-x-2-5-5-micr,/cartridges/sediment/twin-pair-of-water-filter-cartridges-carbon-cto-plus-sediment-pp-10-x-2-5-5-micr/,EA-CART-SED-10X25-03,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,YES,YES,YES,YES,,,1,665,,/product/twin-pair-of-water-filter-cartridges-carbon-cto-plus-sediment-pp-10-x-2-5-5-micr/
12179,Twin Pair of Water Filter Cartridges – Premium Carbon (CTO) + Sediment (PP) – 10″ x 2.5″ – 5 Micron,simple,49.95,,Filter Cartridges,KEEP,cartridges,sediment,twin-pair-of-water-filter-cartridges-premium-carbon-cto-plus-sediment-pp-10-x-2,/cartridges/sediment/twin-pair-of-water-filter-cartridges-premium-carbon-cto-plus-sediment-pp-10-x-2/,EA-CART-SED-10X25-05,not_required,use:home-drinking-water,problem:sediment-and-rust,Cartridge (sediment),,,,,,,,,,,,YES,YES,YES,,,1,2808,,/product/twin-pair-of-water-filter-cartridges-premium-carbon-cto-plus-sediment-pp-10-x-2/
12425,Complete Bathroom Package 1B | Matte Black | Watermark Certified | WELS Rated,simple,999.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-1b-matte-black-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-1b-matte-black-watermark-certified-wels-rated/,EA-PLB-BUNDLE,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,1909,,/product/complete-bathroom-package-1b-matte-black-watermark-certified-wels-rated/
12495,Complete Bathroom Package 1C | Polished Chrome | Watermark Certified | WELS Rated,simple,999.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-1c-polished-chrome-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-1c-polished-chrome-watermark-certified-wels-rated/,EA-PLB-BUNDLE-12,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,1913,,/product/complete-bathroom-package-1c-polished-chrome-watermark-certified-wels-rated/
12430,Complete Bathroom Package 1G | Brushed Gold | Watermark Certified | WELS Rated,simple,1199.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-1g-brushed-gold-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-1g-brushed-gold-watermark-certified-wels-rated/,EA-PLB-BUNDLE-02,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,1910,,/product/complete-bathroom-package-1g-brushed-gold-watermark-certified-wels-rated/
12441,Complete Bathroom Package 2B | Matte Black | Watermark Certified | WELS Rated,simple,1599.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-2b-matte-black-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-2b-matte-black-watermark-certified-wels-rated/,EA-PLB-BUNDLE-04,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,2082,,/product/complete-bathroom-package-2b-matte-black-watermark-certified-wels-rated/
12486,Complete Bathroom Package 2C | Polished Chrome | Watermark Certified | WELS Rated,simple,1599.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-2c-polished-chrome-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-2c-polished-chrome-watermark-certified-wels-rated/,EA-PLB-BUNDLE-09,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,2086,,/product/complete-bathroom-package-2c-polished-chrome-watermark-certified-wels-rated/
12438,Complete Bathroom Package 2G | Brushed Gold | Watermark Certified | WELS Rated,simple,1799.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-2g-brushed-gold-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-2g-brushed-gold-watermark-certified-wels-rated/,EA-PLB-BUNDLE-03,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,2083,,/product/complete-bathroom-package-2g-brushed-gold-watermark-certified-wels-rated/
12456,Complete Bathroom Package 3B | Matte Black | Watermark Certified | WELS Rated,simple,1699.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-3b-matte-black-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-3b-matte-black-watermark-certified-wels-rated/,EA-PLB-BUNDLE-07,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,2099,,/product/complete-bathroom-package-3b-matte-black-watermark-certified-wels-rated/
12492,Complete Bathroom Package 3C | Polished Chrome | Watermark Certified | WELS Rated,simple,1699.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-3c-polished-chrome-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-3c-polished-chrome-watermark-certified-wels-rated/,EA-PLB-BUNDLE-11,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,2103,,/product/complete-bathroom-package-3c-polished-chrome-watermark-certified-wels-rated/
12460,Complete Bathroom Package 3G | Brushed Gold | Watermark Certified | WELS Rated,simple,1899.99,,Bundles,KEEP,plumbing,bundles,complete-bathroom-package-3g-brushed-gold-watermark-certified-wels-rated,/plumbing/bundles/complete-bathroom-package-3g-brushed-gold-watermark-certified-wels-rated/,EA-PLB-BUNDLE-08,certified,,,WaterMark-certified bathroom package,WaterMark certificate numbers REQUIRED for all components,,,,,,,,,,,YES,YES,YES,YES,YES,1,2100,,/product/complete-bathroom-package-3g-brushed-gold-watermark-certified-wels-rated/
